dataset_num,motif_discovery=0|motif_occupancy=1,dataset_name,roc_auc,prc_auc,time(sec)
0,0,wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk,0.856490109,0.818979249,159.6144772
0,1,wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk,0.664913506,0.668884116,159.4043109
1,0,wgEncodeAwgTfbsSydhK562Atf106325UniPk,0.917345802,0.904105682,159.9036319
1,1,wgEncodeAwgTfbsSydhK562Atf106325UniPk,0.858687199,0.846145782,159.871752
2,0,wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk,0.951200764,0.946850979,160.229769
2,1,wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk,0.833424762,0.806376266,160.2945528
3,0,wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk,0.936514052,0.913832111,159.6813149
3,1,wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk,0.839651162,0.815407611,160.2123349
4,0,wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk,0.761455754,0.747106741,160.2846282
5,0,wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk,0.763749464,0.754711259,160.951951
6,0,wgEncodeAwgTfbsSydhK562Bdp1UniPk,0.7775,0.791264729,161.3885989
7,0,wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk,0.912611283,0.903828151,160.973418
7,1,wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk,0.886349934,0.869742361,161.3370101
8,0,wgEncodeAwgTfbsHaibK562Cbx3sc101004V0422111UniPk,0.843618679,0.824927886,160.9693251
9,0,wgEncodeAwgTfbsSydhK562Ccnt2UniPk,0.850614495,0.839104714,160.131654
10,0,wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk,0.977873651,0.97687371,160.975477
10,1,wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk,0.859217001,0.845726647,161.6859429
11,0,wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk,0.953585279,0.948281688,160.056572
11,1,wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk,0.866633172,0.845087166,160.8199589
12,0,wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk,0.757451013,0.754157554,159.6984358
13,0,wgEncodeAwgTfbsSydhK562Chd2ab68301IggrabUniPk,0.899696996,0.892240141,160.5671861
14,0,wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk,0.976904666,0.9753732,160.4012032
14,1,wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk,0.835779059,0.82800187,162.1119711
15,0,wgEncodeAwgTfbsUwK562CtcfUniPk,0.98036624,0.978316642,160.8066921
15,1,wgEncodeAwgTfbsUwK562CtcfUniPk,0.822522981,0.809861685,161.7203491
16,0,wgEncodeAwgTfbsSydhK562CtcfbIggrabUniPk,0.976836679,0.974157046,161.6633029
16,1,wgEncodeAwgTfbsSydhK562CtcfbIggrabUniPk,0.828505176,0.816926397,162.247278
17,0,wgEncodeAwgTfbsBroadK562CtcfUniPk,0.946934485,0.931670874,160.7405801
17,1,wgEncodeAwgTfbsBroadK562CtcfUniPk,0.791495202,0.782066416,162.365464
18,0,wgEncodeAwgTfbsUtaK562CtcfUniPk,0.983877443,0.983234636,160.9398029
18,1,wgEncodeAwgTfbsUtaK562CtcfUniPk,0.850438542,0.840586807,161.459579
19,0,wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk,0.974410862,0.973260151,160.7046611
20,0,wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,0.881111201,0.874831453,160.0791142
20,1,wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,0.869055208,0.872608332,161.474297
21,0,wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,0.885488262,0.881987999,160.1805658
21,1,wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,0.830840336,0.841340124,162.145566
22,0,wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,0.858267061,0.855716822,160.714812
22,1,wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,0.837929955,0.843120697,161.3799579
23,0,wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk,0.95524237,0.953921102,161.0027978
23,1,wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk,0.826184625,0.820883045,164.123342
24,0,wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk,0.946611006,0.945280262,160.003011
24,1,wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk,0.777470811,0.770356139,160.5988419
25,0,wgEncodeAwgTfbsSydhK562P300IggrabUniPk,0.917321472,0.912003365,160.303138
26,0,wgEncodeAwgTfbsHaibK562Ets1V0416101UniPk,0.838347095,0.823853419,159.7679131
26,1,wgEncodeAwgTfbsHaibK562Ets1V0416101UniPk,0.793646702,0.787627459,159.9385409
27,0,wgEncodeAwgTfbsSydhK562CfosUniPk,0.978899796,0.976445688,159.6710238
27,1,wgEncodeAwgTfbsSydhK562CfosUniPk,0.90791432,0.890771647,159.9545362
28,0,wgEncodeAwgTfbsUchicagoK562EfosUniPk,0.966545441,0.958413899,159.531846
28,1,wgEncodeAwgTfbsUchicagoK562EfosUniPk,0.900923559,0.884554273,160.0996499
29,0,wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk,0.967758753,0.961536783,159.5061228
29,1,wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk,0.896823212,0.879826949,160.2265041
30,0,wgEncodeAwgTfbsHaibK562GabpV0416101UniPk,0.917612511,0.909051921,159.917593
31,0,wgEncodeAwgTfbsSydhK562Gata1UcdUniPk,0.943077705,0.935628351,159.8280089
31,1,wgEncodeAwgTfbsSydhK562Gata1UcdUniPk,0.76061869,0.735812126,159.5578699
32,0,wgEncodeAwgTfbsUchicagoK562Egata2UniPk,0.850578062,0.834486127,159.970978
32,1,wgEncodeAwgTfbsUchicagoK562Egata2UniPk,0.706168844,0.686836637,160.165828
33,0,wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk,0.945221218,0.943942052,159.7580621
33,1,wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk,0.766288169,0.752790187,160.318444
34,0,wgEncodeAwgTfbsSydhK562Gata2UcdUniPk,0.926671326,0.920713592,159.7684979
34,1,wgEncodeAwgTfbsSydhK562Gata2UcdUniPk,0.752077202,0.754097455,159.9822659
35,0,wgEncodeAwgTfbsSydhK562Gtf2bUniPk,0.781957202,0.761316216,159.5940681
36,0,wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk,0.771577955,0.762758098,159.795707
37,0,wgEncodeAwgTfbsHaibK562Hdac2sc6296V0416102UniPk,0.866542859,0.862387871,159.84307
38,0,wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk,0.796474947,0.792170925,159.7932038
39,0,wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk,0.698663691,0.67096666,159.534204
40,0,wgEncodeAwgTfbsSydhK562Hmgn3UniPk,0.834533855,0.822607807,159.9580879
41,0,wgEncodeAwgTfbsSydhK562CjunUniPk,0.965912044,0.961459714,160.200274
41,1,wgEncodeAwgTfbsSydhK562CjunUniPk,0.814346358,0.788626066,161.02544
42,0,wgEncodeAwgTfbsUchicagoK562EjunbUniPk,0.926030383,0.912514842,160.3609838
42,1,wgEncodeAwgTfbsUchicagoK562EjunbUniPk,0.869402521,0.847000528,160.581109
43,0,wgEncodeAwgTfbsUchicagoK562EjundUniPk,0.919752815,0.910401791,160.5549119
43,1,wgEncodeAwgTfbsUchicagoK562EjundUniPk,0.844792351,0.822490976,161.7278681
44,0,wgEncodeAwgTfbsSydhK562JundIggrabUniPk,0.943267602,0.938012288,160.7843199
44,1,wgEncodeAwgTfbsSydhK562JundIggrabUniPk,0.857384864,0.843014098,162.7034421
45,0,wgEncodeAwgTfbsSydhK562Kap1UcdUniPk,0.851328192,0.824147666,160.377805
46,0,wgEncodeAwgTfbsBroadK562Plu1UniPk,0.805466754,0.804191467,160.1122179
47,0,wgEncodeAwgTfbsSydhK562MaffIggrabUniPk,0.977853213,0.974220166,160.2324121
47,1,wgEncodeAwgTfbsSydhK562MaffIggrabUniPk,0.811562027,0.786289872,160.680449
48,0,wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk,0.977067473,0.972871014,160.543963
48,1,wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk,0.816340993,0.785217597,161.5204949
49,0,wgEncodeAwgTfbsSydhK562MaxIggrabUniPk,0.893172109,0.886154412,161.624284
49,1,wgEncodeAwgTfbsSydhK562MaxIggrabUniPk,0.881533347,0.870064042,161.9466999
50,0,wgEncodeAwgTfbsHaibK562MaxV0416102UniPk,0.895476039,0.886306086,161.56777
50,1,wgEncodeAwgTfbsHaibK562MaxV0416102UniPk,0.854608284,0.850238278,162.8261931
51,0,wgEncodeAwgTfbsSydhK562Mazab85725IggrabUniPk,0.91212242,0.904849445,161.8070991
52,0,wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk,0.908286776,0.887544477,160.6721742
52,1,wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk,0.876172201,0.859403531,160.4851699
53,0,wgEncodeAwgTfbsSydhK562Mxi1af4185IggrabUniPk,0.868523155,0.855667921,160.9305351
54,0,wgEncodeAwgTfbsSydhK562CmycIggrabUniPk,0.884858019,0.878072943,161.624521
54,1,wgEncodeAwgTfbsSydhK562CmycIggrabUniPk,0.800472364,0.784747195,161.2574439
55,0,wgEncodeAwgTfbsUtaK562CmycUniPk,0.886209971,0.873830918,161.06145
55,1,wgEncodeAwgTfbsUtaK562CmycUniPk,0.872940835,0.863560313,160.508563
56,0,wgEncodeAwgTfbsSydhK562Nfe2UniPk,0.991511583,0.991997013,159.5049679
56,1,wgEncodeAwgTfbsSydhK562Nfe2UniPk,0.951111787,0.933805204,160.4383171
57,0,wgEncodeAwgTfbsSydhK562NfyaUniPk,0.949586117,0.935534936,160.28986
57,1,wgEncodeAwgTfbsSydhK562NfyaUniPk,0.85391118,0.846556575,160.8383701
58,1,wgEncodeAwgTfbsSydhK562NfybUniPk,0.861176684,0.854716103,161.1791148
59,0,wgEncodeAwgTfbsHaibK562Nr2f2sc271940V0422111UniPk,0.90386435,0.893245748,161.3330021
60,0,wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk,0.951794855,0.943653778,160.8843579
60,1,wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk,0.920259332,0.920983512,161.742969
61,0,wgEncodeAwgTfbsBroadK562Phf8a301772aUniPk,0.795169175,0.788344681,161.274117
62,0,wgEncodeAwgTfbsHaibK562Pmlsc71910V0422111UniPk,0.836907621,0.813887913,160.9894919
63,0,wgEncodeAwgTfbsBroadK562Pol2bUniPk,0.788142694,0.779348962,161.460768
64,0,wgEncodeAwgTfbsHaibK562Pol24h8V0416101UniPk,0.83479174,0.814970561,161.3506498
65,0,wgEncodeAwgTfbsSydhK562Pol2UniPk,0.822416865,0.816169969,161.03073
66,0,wgEncodeAwgTfbsSydhK562Pol2IggmusUniPk,0.778917519,0.770150898,161.0460131
67,0,wgEncodeAwgTfbsHaibK562Pol2V0416101UniPk,0.799940206,0.791791847,161.4476912
68,0,wgEncodeAwgTfbsUtaK562Pol2UniPk,0.819489529,0.81756826,161.3281219
69,0,wgEncodeAwgTfbsSydhK562Pol2s2IggrabUniPk,0.725412576,0.712312353,161.042789
70,0,wgEncodeAwgTfbsHaibK562Rad21V0416102UniPk,0.979848972,0.978003148,161.6193459
71,0,wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk,0.781330004,0.773822822,161.2076421
72,0,wgEncodeAwgTfbsSydhK562Corestsc30189IggrabUniPk,0.915251121,0.909927395,161.9769409
73,0,wgEncodeAwgTfbsSydhK562Corestab24166IggrabUniPk,0.856112882,0.835628123,161.5429189
74,0,wgEncodeAwgTfbsHaibK562NrsfV0416102UniPk,0.91446626,0.903846465,161.3265741
74,1,wgEncodeAwgTfbsHaibK562NrsfV0416102UniPk,0.777022441,0.778014194,161.6122179
75,0,wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk,0.812569367,0.771218238,160.6854551
75,1,wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk,0.903209397,0.894081313,161.4694099
76,0,wgEncodeAwgTfbsBroadK562Sap3039731UniPk,0.787461558,0.78123268,161.1184609
77,0,wgEncodeAwgTfbsSydhK562Setdb1UcdUniPk,0.817114515,0.80337948,161.4480598
78,0,wgEncodeAwgTfbsHaibK562Sin3ak20V0416101UniPk,0.853406783,0.847380316,161.4225941
79,0,wgEncodeAwgTfbsSydhK562Sirt6UniPk,0.851569976,0.832466119,161.2724891
80,0,wgEncodeAwgTfbsHaibK562Six5Pcr1xUniPk,0.882193566,0.865472386,161.7040789
81,0,wgEncodeAwgTfbsSydhK562Smc3ab9263IggrabUniPk,0.975277618,0.967990425,161.6126499
82,0,wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk,0.88528518,0.872218368,161.494705
82,1,wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk,0.895358371,0.896682813,162.5557289
83,0,wgEncodeAwgTfbsHaibK562Sp2sc643V0416102UniPk,0.909341997,0.890662075,161.276108
83,1,wgEncodeAwgTfbsHaibK562Sp2sc643V0416102UniPk,0.933200421,0.93537298,161.8274288
84,0,wgEncodeAwgTfbsHaibK562Pu1Pcr1xUniPk,0.988554883,0.988728886,161.949903
84,1,wgEncodeAwgTfbsHaibK562Pu1Pcr1xUniPk,0.810806996,0.792928268,162.351495
85,0,wgEncodeAwgTfbsHaibK562SrfV0416101UniPk,0.889725524,0.874667543,161.6411469
85,1,wgEncodeAwgTfbsHaibK562SrfV0416101UniPk,0.907346031,0.88757915,161.7838311
86,0,wgEncodeAwgTfbsHaibK562Stat5asc74442V0422111UniPk,0.922953207,0.911603069,161.4493802
86,1,wgEncodeAwgTfbsHaibK562Stat5asc74442V0422111UniPk,0.767711124,0.740645399,161.8975551
87,0,wgEncodeAwgTfbsHaibK562Taf1V0416101UniPk,0.848153616,0.840263166,161.7893341
88,0,wgEncodeAwgTfbsHaibK562Taf7sc101167V0416101UniPk,0.77977488,0.782481928,161.2069159
89,0,wgEncodeAwgTfbsSydhK562Tal1sc12984IggmusUniPk,0.950490668,0.943505591,162.1517119
90,0,wgEncodeAwgTfbsSydhK562Tblr1ab24550IggrabUniPk,0.769171725,0.760311864,161.558049
91,0,wgEncodeAwgTfbsSydhK562Tblr1nb600270IggrabUniPk,0.894773228,0.879490843,161.6119499
92,0,wgEncodeAwgTfbsSydhK562TbpIggmusUniPk,0.83791987,0.822213644,162.0403149
92,1,wgEncodeAwgTfbsSydhK562TbpIggmusUniPk,0.742712563,0.715926999,161.8009841
93,0,wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk,0.910522826,0.904452269,162.239011
93,1,wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk,0.686215723,0.678793358,162.478462
94,0,wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk,0.852779331,0.843609084,161.4470541
94,1,wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk,0.852221859,0.855939882,161.832907
95,0,wgEncodeAwgTfbsHaibK562Trim28sc81411V0422111UniPk,0.849722508,0.836238682,162.0787609
96,0,wgEncodeAwgTfbsSydhK562Ubfsc13125IggmusUniPk,0.8556428,0.870353231,161.9763539
97,0,wgEncodeAwgTfbsSydhK562Ubtfsab1404509IggmusUniPk,0.842117193,0.836703184,162.147522
98,0,wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk,0.967293288,0.962888174,162.058722
98,1,wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk,0.836438332,0.83063558,162.8131809
99,0,wgEncodeAwgTfbsSydhK562Usf2IggrabUniPk,0.950190225,0.936485351,161.5034571
99,1,wgEncodeAwgTfbsSydhK562Usf2IggrabUniPk,0.885290928,0.873131796,162.289901
100,0,wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk,0.917294225,0.908075542,162.3833649
100,1,wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk,0.789905373,0.783480723,162.492187
101,0,wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk,0.905033482,0.899862807,162.3203959
101,1,wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk,0.835570789,0.831869159,162.3557169
102,0,wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk,0.883488305,0.870591141,162.023942
102,1,wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk,0.873884307,0.857268844,162.0404181
103,0,wgEncodeAwgTfbsHaibK562Zbtb7asc34508V0416101UniPk,0.862529171,0.864728805,162.7015331
103,1,wgEncodeAwgTfbsHaibK562Zbtb7asc34508V0416101UniPk,0.775274581,0.789222459,163.695132
104,0,wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk,0.948824922,0.938498268,162.7876091
104,1,wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk,0.747883706,0.736193858,162.6122839
105,0,wgEncodeAwgTfbsSydhK562Znf263UcdUniPk,0.87407317,0.86608474,161.6395321
105,1,wgEncodeAwgTfbsSydhK562Znf263UcdUniPk,0.962663152,0.960268872,162.770406
106,0,wgEncodeAwgTfbsSydhK562Znf274m01UcdUniPk,0.804768601,0.768888336,161.1931291
107,0,wgEncodeAwgTfbsSydhK562Znf274UcdUniPk,0.870535714,0.858285336,161.4488709